report_id,family_id,prior_reports_12mo,prior_substantiated_flag,days_since_last_report,n_children_in_household,child_age_under_5,dv_history_flag,substance_use_flag,shelter_involvement_flag,days_to_first_contact,reporter_accuracy_score,caseworker_caseload,needs_investigative_consultation
SCR000001,FAM00103,1,1,87.0,5,0,0,0.0,0,2.0,0.276,34,1
SCR000002,FAM00436,0,0,,2,0,1,0.0,0,1.0,0.377,31,1
SCR000003,FAM00271,0,1,,5,1,1,,0,3.0,0.393,42,1
SCR000004,FAM00107,1,0,248.0,2,0,0,1.0,0,7.0,0.244,47,0
SCR000005,FAM00072,2,0,214.0,3,0,1,1.0,0,3.0,0.273,55,0
SCR000006,FAM00021,0,0,,1,0,0,0.0,0,5.0,0.104,54,0
SCR000007,FAM00615,0,1,,1,0,1,0.0,0,2.0,0.225,73,0
SCR000008,FAM00122,0,1,,2,0,0,1.0,0,3.0,0.323,43,0
SCR000009,FAM00467,7,0,4.0,2,1,0,1.0,0,4.0,0.349,34,1
SCR000010,FAM00215,0,1,,1,1,0,0.0,0,3.0,0.462,71,1
SCR000011,FAM00331,0,0,,1,0,0,0.0,1,2.0,0.249,31,0
SCR000012,FAM00459,0,0,,1,1,0,0.0,0,2.0,0.285,33,0
SCR000013,FAM00088,0,0,,3,1,0,0.0,0,3.0,0.416,41,0
SCR000014,FAM00373,0,0,,2,0,0,0.0,0,1.0,0.325,40,0
SCR000015,FAM00100,0,0,,1,0,0,,0,4.0,0.427,33,0
SCR000016,FAM00131,4,0,259.0,1,0,1,0.0,0,7.0,0.109,72,0
SCR000017,FAM00309,0,0,,1,1,1,0.0,0,2.0,0.325,38,1
SCR000018,FAM00344,0,0,,2,1,0,0.0,0,3.0,0.314,39,0
SCR000019,FAM00492,0,0,,1,0,1,1.0,1,,0.542,56,0
SCR000020,FAM00414,1,1,350.0,3,0,0,0.0,0,3.0,0.325,35,0
SCR000021,FAM00386,0,0,,1,1,1,0.0,0,2.0,0.249,44,0
SCR000022,FAM00192,1,0,356.0,1,0,0,0.0,0,5.0,0.338,71,1
