report_id,family_id,report_date,borough,child_age,child_race_ethnicity,allegation_type,reporter_type,reporter_accuracy_score,assigned_caseworker_id,caseworker_caseload,narrative,outcome
SCR000001,FAM00103,2024-08-02,Manhattan,17,Black/African American,Physical Abuse,School/Educational Staff,0.276,CW0022,34,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000002,FAM00436,2021-08-17,Queens,13,Asian,Neglect - Inadequate Food/Clothing/Shelter,Law Enforcement,0.377,CW0005,31,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unsubstantiated
SCR000003,FAM00271,2021-02-21,Bronx,1,Black/African American,Neglect - Inadequate Supervision,Law Enforcement,0.393,CW0044,42,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000004,FAM00107,2022-07-18,Bronx,15,Hispanic/Latino,Physical Abuse,School/Educational Staff,0.244,CW0009,47,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000005,FAM00072,2022-05-17,Bronx,14,White,Neglect - Inadequate Supervision,Shelter Staff,0.273,CW0043,55,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000006,FAM00021,2022-04-03,Staten Island,7,Multiracial,Neglect - Inadequate Food/Clothing/Shelter,Anonymous,0.104,CW0004,54,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Still Open
SCR000007,FAM00615,2021-10-13,Bronx,8,Multiracial,Neglect - Inadequate Supervision,Shelter Staff,0.225,CW0042,73,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Unsubstantiated
SCR000008,FAM00122,2021-07-29,Queens,5,White,Emotional Abuse,School/Educational Staff,0.323,CW0065,43,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Unsubstantiated
SCR000009,FAM00467,2024-10-17,Manhattan,0,Asian,Emotional Abuse,School/Educational Staff,0.349,CW0041,34,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Still Open
SCR000010,FAM00215,2024-01-22,Brooklyn,4,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,Hospital/Medical,0.462,CW0064,71,Medical staff observed bruising during checkup. Child disclosed hitting at home.,Still Open
SCR000011,FAM00331,2021-06-28,Bronx,12,Black/African American,Neglect - Inadequate Supervision,Family Member,0.249,CW0055,31,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unsubstantiated
SCR000012,FAM00459,2024-04-24,Bronx,0,Black/African American,Neglect - Inadequate Supervision,School/Educational Staff,0.285,CW0018,33,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Still Open
SCR000013,FAM00088,2023-05-15,Manhattan,4,Black/African American,Emotional Abuse,Law Enforcement,0.416,CW0016,41,Anonymous caller reports child home alone. No food observed in home.,Substantiated
SCR000014,FAM00373,2021-03-07,Queens,5,Hispanic/Latino,Neglect - Inadequate Supervision,School/Educational Staff,0.325,CW0046,40,Shelter staff reports family in crisis. Caregiver appeared intoxicated.,Unfounded
SCR000015,FAM00100,2021-03-03,Manhattan,7,Hispanic/Latino,Neglect - Inadequate Supervision,Hospital/Medical,0.427,CW0036,33,Neighbor reports child unsupervised for extended periods. Child left alone overnight.,Unfounded
SCR000016,FAM00131,2021-07-11,Brooklyn,15,Black/African American,Neglect - Educational,Anonymous,0.109,CW0066,72,Law enforcement responded to domestic incident. Child present in home.,Unsubstantiated
SCR000017,FAM00309,2022-03-24,Bronx,4,Hispanic/Latino,Neglect - Inadequate Food/Clothing/Shelter,Daycare/Childcare,0.325,CW0044,38,Reporter states child appeared disheveled and hungry. Child reported parent unable to be reached.,Substantiated
SCR000018,FAM00344,2022-04-22,Staten Island,4,Black/African American,Neglect - Inadequate Food/Clothing/Shelter,School/Educational Staff,0.314,CW0005,39,Law enforcement responded to domestic incident. Child present in home.,Substantiated
SCR000019,FAM00492,2023-11-01,Queens,11,Black/African American,Sexual Abuse,Hospital/Medical,0.542,CW0029,56,Anonymous caller reports child home alone. No food observed in home.,Substantiated
