fy,borough_name,SCR intakes,Indicated Investigations,Unsubstantiated Investigations,CARES Cases,ACS Referral to Prevention,Emergency Removals,Article X Filings,Remands at Initial Hearings,Article X Foster Care Entries,indication_rate,foster_entry_rate,removal_rate
2022,Bronx,13872,3866.0,8317,1474.0,2057.0,337.0,1307.0,775.0,471.0,0.2787,0.034,0.0243
2022,Brooklyn,13176,4057.0,6910,2036.0,2691.0,254.0,1100.0,384.0,382.0,0.3079,0.029,0.0193
2022,Manhattan,5919,1603.0,3646,591.0,1109.0,118.0,472.0,178.0,196.0,0.2708,0.0331,0.0199
2022,Outside NYC / Unknown,2888,694.0,1977,148.0,109.0,41.0,158.0,72.0,167.0,0.2403,0.0578,0.0142
2022,Queens,10241,2620.0,6458,1044.0,1473.0,116.0,679.0,216.0,236.0,0.2558,0.023,0.0113
2022,Staten Island,2717,553.0,1900,252.0,497.0,38.0,194.0,73.0,86.0,0.2035,0.0317,0.014
2023,Bronx,13963,3542.0,8092,2137.0,2021.0,326.0,1180.0,426.0,418.0,0.2537,0.0299,0.0233
2023,Brooklyn,13214,3082.0,6963,2972.0,2314.0,156.0,796.0,308.0,325.0,0.2332,0.0246,0.0118
2023,Manhattan,6583,1426.0,3947,1113.0,984.0,100.0,366.0,166.0,201.0,0.2166,0.0305,0.0152
2023,Outside NYC / Unknown,2793,584.0,1916,214.0,75.0,39.0,138.0,60.0,132.0,0.2091,0.0473,0.014
2023,Queens,11180,2586.0,6991,1444.0,1347.0,105.0,579.0,225.0,243.0,0.2313,0.0217,0.0094
2023,Staten Island,2811,405.0,1675,709.0,433.0,34.0,147.0,62.0,85.0,0.1441,0.0302,0.0121
2024,Bronx,13818,3393.0,6908,3203.0,4933.0,567.0,2798.0,814.0,739.0,0.2455,0.0535,0.041
2024,Brooklyn,12871,3007.0,6021,3569.0,4623.0,335.0,1794.0,496.0,546.0,0.2336,0.0424,0.026
2024,Manhattan,6726,1371.0,3641,1576.0,1662.0,160.0,577.0,249.0,289.0,0.2038,0.043,0.0238
2024,Outside NYC / Unknown,3554,758.0,2246,429.0,148.0,59.0,212.0,81.0,338.0,0.2133,0.0951,0.0166
2024,Queens,11594,2547.0,6585,2121.0,2617.0,213.0,1068.0,355.0,387.0,0.2197,0.0334,0.0184
2024,Staten Island,2652,377.0,1340,878.0,984.0,59.0,301.0,115.0,114.0,0.1422,0.043,0.0222
2025,Bronx,18570,3096.0,6514,2903.0,1825.0,296.0,1081.0,416.0,461.0,0.1667,0.0248,0.0159
2025,Brooklyn,12272,3015.0,5644,3253.0,1938.0,150.0,812.0,304.0,531.0,0.2457,0.0433,0.0122
2025,Manhattan,6299,1381.0,3321,1380.0,755.0,120.0,417.0,181.0,295.0,0.2192,0.0468,0.0191
2025,Outside NYC / Unknown,3701,725.0,2200,425.0,61.0,28.0,107.0,53.0,234.0,0.1959,0.0632,0.0076
2025,Queens,11310,2246.0,6590,2141.0,1060.0,140.0,567.0,250.0,434.0,0.1986,0.0384,0.0124
2025,Staten Island,2450,297.0,1427,687.0,315.0,32.0,106.0,48.0,80.0,0.1212,0.0327,0.0131
