fold,model,roc_auc,pr_auc,brier
0,logistic_l2,0.7676306443429731,0.5994983400144819,0.19697739092343233
0,random_forest,0.7444190766108575,0.5520025056558032,0.17197584791075593
0,gradient_boosting,0.7105530187721969,0.49396834739352574,0.18246851253969587
1,logistic_l2,0.6677404509894155,0.42888596448272887,0.1926326591330611
1,random_forest,0.6976530142659917,0.4450283430949488,0.16229033425456774
1,gradient_boosting,0.688909341923608,0.38059189219221556,0.15768832733090174
2,logistic_l2,0.6947765072765073,0.43938275870853394,0.2301448918145059
2,random_forest,0.6687889812889812,0.3911063975750466,0.19389301815136825
2,gradient_boosting,0.6735966735966736,0.36742752824137276,0.20553478222936739
3,logistic_l2,0.789703739679456,0.6602178072398983,0.195276153071123
3,random_forest,0.7774405050995629,0.6250161777844732,0.17133913185195687
3,gradient_boosting,0.7379796017484216,0.527156383638675,0.17918761197892785
4,logistic_l2,0.7335558336809901,0.5203811549239618,0.1929461293573469
4,random_forest,0.7106104853288833,0.40870584728241754,0.1712571231826949
4,gradient_boosting,0.6793213739396468,0.3925453460975332,0.17508092479026716
