threshold,flag_rate,precision,recall,f2
0.05,1.0,0.25,1.0,0.625
0.075,0.999,0.24924924924924924,0.996,0.6228114057028514
0.1,0.998,0.24949899799599198,0.996,0.6231231231231231
0.125,0.996,0.24899598393574296,0.992,0.6212424849699398
0.15,0.987,0.24822695035460993,0.98,0.6165072974333166
0.175,0.977,0.24872057318321392,0.972,0.6145675265553869
0.2,0.958,0.25260960334029225,0.968,0.6179775280898876
0.225,0.937,0.2550693703308431,0.956,0.6169334021683015
0.25,0.892,0.2589686098654709,0.924,0.6104651162790697
0.275,0.862,0.2633410672853828,0.908,0.6095596133190118
0.3,0.829,0.26658624849215923,0.884,0.6041552761071624
0.325,0.787,0.27064803049555275,0.852,0.5959709009513151
0.35,0.733,0.2755798090040928,0.808,0.582804385458742
0.375,0.681,0.2775330396475771,0.756,0.5621653777513385
0.4,0.637,0.28728414442700156,0.732,0.5589492974954184
0.425,0.575,0.29739130434782607,0.684,0.5428571428571428
0.45,0.513,0.3079922027290448,0.632,0.5221414408460013
0.475,0.46,0.31521739130434784,0.58,0.4965753424657534
0.5,0.408,0.3284313725490196,0.536,0.4758522727272727
0.525,0.358,0.3407821229050279,0.488,0.4491899852724595
0.55,0.307,0.3550488599348534,0.436,0.41698546289211935
0.575,0.271,0.36531365313653136,0.396,0.3894571203776554
0.6,0.232,0.375,0.348,0.3530844155844156
0.625,0.2,0.385,0.308,0.32083333333333336
0.65,0.166,0.39156626506024095,0.26,0.2787307032590051
0.675,0.139,0.38848920863309355,0.216,0.2370500438981563
0.7,0.111,0.44144144144144143,0.196,0.22052205220522053
0.725,0.089,0.47191011235955055,0.168,0.1928374655647383
0.75,0.065,0.49230769230769234,0.128,0.15023474178403756
0.775,0.051,0.5294117647058824,0.108,0.12844909609895339
0.8,0.037,0.5135135135135135,0.076,0.09161041465766634
0.825,0.023,0.5217391304347826,0.048,0.05865102639296188
0.85,0.013,0.6153846153846154,0.032,0.039486673247778874
0.875,0.007,0.7142857142857143,0.02,0.024826216484607744
0.9,0.005,0.8,0.016,0.01990049751243781
