feature,mean_abs_shap
num__risk_caseload,0.3708267506112405
num__prior_substantiated_flag,0.30720513618241635
num__prior_density,0.3062503206433483
num__child_age_under_5,0.27121505902203363
num__reporter_accuracy_score,0.24402878396378158
num__dv_history_flag,0.21237077175545352
num__caseworker_caseload,0.18973509080479617
num__substance_use_flag,0.15246844630494108
cat__allegation_type_Physical Abuse,0.14093169571999667
num__days_to_first_contact,0.11374673251040596
cat__allegation_type_Sexual Abuse,0.09512854094323651
num__days_since_last_report,0.08802423559405921
num__int_hosp_x_age,0.08225152970484494
cat__allegation_type_Neglect - Educational,0.06754275533745209
cat__borough_Manhattan,0.060204267426448396
num__shelter_involvement_flag,0.05822703403162143
num__prior_reports_12mo,0.04930594280641171
cat__allegation_type_Emotional Abuse,0.036498959067123374
cat__allegation_type_Neglect - Medical,0.028270127370744667
num__days_to_first_contact_missing,0.02776831158475165
cat__reporter_type_Neighbor/Community,0.025635456880574527
cat__borough_Bronx,0.0219253539913624
cat__borough_Brooklyn,0.02187593711282637
cat__reporter_type_Anonymous,0.020124929073400046
cat__reporter_type_School/Educational Staff,0.019973599574537055
cat__reporter_type_Daycare/Childcare,0.01912960922462057
cat__child_race_ethnicity_White,0.018183100840043008
num__int_prior_x_physical,0.018054357206130456
cat__reporter_type_Shelter Staff,0.01726421881181825
num__int_age_x_physical,0.016995445915763525
cat__child_race_ethnicity_Multiracial,0.013781371527180394
num__substance_use_flag_missing,0.012582541928828388
num__int_prior_x_sexual,0.012213124100795766
cat__child_race_ethnicity_Black/African American,0.011114417011456606
cat__allegation_type_Neglect - Inadequate Food/Clothing/Shelter,0.010574096031530322
cat__child_race_ethnicity_Hispanic/Latino,0.009572994964715016
cat__reporter_type_Family Member,0.007825425422494429
num__int_law_x_dv,0.007036310869942215
cat__child_race_ethnicity_Asian,0.006951758611913833
cat__borough_Queens,0.006210860567844356
num__int_age_x_sexual,0.006046315241801143
cat__child_race_ethnicity_Unknown,0.00525735413502335
cat__borough_Staten Island,0.005158346862648526
cat__reporter_type_Hospital/Medical,0.004032661377006212
cat__reporter_type_Law Enforcement,0.003916330444796412
cat__allegation_type_Domestic Violence Exposure,0.0029083630273850384
cat__reporter_type_Social Service Provider,0.0021826367573967967
cat__allegation_type_Neglect - Inadequate Supervision,0.001062074642108193
num__days_since_last_report_missing,5.0575267775180904e-05
